symbol,close,date
MSFT,30.950001,2010-01-04
MSFT,30.959999,2010-01-05
MSFT,30.77,2010-01-06
MSFT,30.450001,2010-01-07
MSFT,30.66,2010-01-08
MSFT,30.27,2010-01-11
MSFT,30.07,2010-01-12
MSFT,30.35,2010-01-13
MSFT,30.959999,2010-01-14
MSFT,30.860001,2010-01-15
MSFT,31.1,2010-01-19
MSFT,30.59,2010-01-20
MSFT,30.01,2010-01-21
MSFT,28.959999,2010-01-22
MSFT,29.32,2010-01-25
MSFT,29.5,2010-01-26
MSFT,29.67,2010-01-27
MSFT,29.16,2010-01-28
MSFT,28.18,2010-01-29
MSFT,28.41,2010-02-01
MSFT,28.459999,2010-02-02
MSFT,28.629998999999998,2010-02-03
MSFT,27.84,2010-02-04
MSFT,28.02,2010-02-05
MSFT,27.719998999999998,2010-02-08
MSFT,28.01,2010-02-09
MSFT,27.99,2010-02-10
MSFT,28.120001000000002,2010-02-11
MSFT,27.93,2010-02-12
MSFT,28.35,2010-02-16
MSFT,28.59,2010-02-17
MSFT,28.969998999999998,2010-02-18
MSFT,28.77,2010-02-19
MSFT,28.73,2010-02-22
MSFT,28.33,2010-02-23
MSFT,28.629998999999998,2010-02-24
MSFT,28.6,2010-02-25
MSFT,28.67,2010-02-26
MSFT,29.02,2010-03-01
MSFT,28.459999,2010-03-02
MSFT,28.459999,2010-03-03
MSFT,28.629998999999998,2010-03-04
MSFT,28.59,2010-03-05
MSFT,28.629998999999998,2010-03-08
MSFT,28.799999,2010-03-09
MSFT,28.969998999999998,2010-03-10
MSFT,29.18,2010-03-11
MSFT,29.27,2010-03-12
MSFT,29.290001,2010-03-15
MSFT,29.370001000000002,2010-03-16
MSFT,29.629998999999998,2010-03-17
MSFT,29.610001,2010-03-18
MSFT,29.59,2010-03-19
MSFT,29.6,2010-03-22
MSFT,29.879998999999998,2010-03-23
MSFT,29.65,2010-03-24
MSFT,30.01,2010-03-25
MSFT,29.66,2010-03-26
MSFT,29.59,2010-03-29
MSFT,29.77,2010-03-30
MSFT,29.290001,2010-03-31
MSFT,29.16,2010-04-01
MSFT,29.27,2010-04-05
MSFT,29.32,2010-04-06
MSFT,29.35,2010-04-07
MSFT,29.92,2010-04-08
MSFT,30.34,2010-04-09
MSFT,30.32,2010-04-12
MSFT,30.450001,2010-04-13
MSFT,30.82,2010-04-14
MSFT,30.870001000000002,2010-04-15
MSFT,30.67,2010-04-16
MSFT,31.040001,2010-04-19
MSFT,31.360001,2010-04-20
MSFT,31.33,2010-04-21
MSFT,31.389999,2010-04-22
MSFT,30.959999,2010-04-23
MSFT,31.110001,2010-04-26
MSFT,30.85,2010-04-27
MSFT,30.91,2010-04-28
MSFT,31.0,2010-04-29
MSFT,30.540001,2010-04-30
MSFT,30.860001,2010-05-03
MSFT,30.129998999999998,2010-05-04
MSFT,29.85,2010-05-05
MSFT,28.98,2010-05-06
MSFT,28.209999,2010-05-07
MSFT,28.940001000000002,2010-05-10
MSFT,28.879998999999998,2010-05-11
MSFT,29.440001000000002,2010-05-12
MSFT,29.24,2010-05-13
MSFT,28.93,2010-05-14
MSFT,28.940001000000002,2010-05-17
MSFT,28.6,2010-05-18
MSFT,28.24,2010-05-19
MSFT,27.110001,2010-05-20
MSFT,26.84,2010-05-21
MSFT,26.27,2010-05-24
MSFT,26.07,2010-05-25
MSFT,25.01,2010-05-26
MSFT,26.0,2010-05-27
MSFT,25.799999,2010-05-28
MSFT,25.889999,2010-06-01
MSFT,26.459999,2010-06-02
MSFT,26.860001,2010-06-03
MSFT,25.790001,2010-06-04
MSFT,25.290001,2010-06-07
MSFT,25.110001,2010-06-08
MSFT,24.790001,2010-06-09
MSFT,25.0,2010-06-10
MSFT,25.66,2010-06-11
MSFT,25.5,2010-06-14
MSFT,26.58,2010-06-15
MSFT,26.32,2010-06-16
MSFT,26.370001000000002,2010-06-17
MSFT,26.440001000000002,2010-06-18
MSFT,25.950001,2010-06-21
MSFT,25.77,2010-06-22
MSFT,25.309998999999998,2010-06-23
MSFT,25.0,2010-06-24
MSFT,24.530001000000002,2010-06-25
MSFT,24.309998999999998,2010-06-28
MSFT,23.309998999999998,2010-06-29
MSFT,23.01,2010-06-30
MSFT,23.16,2010-07-01
MSFT,23.27,2010-07-02
MSFT,23.82,2010-07-06
MSFT,24.299999,2010-07-07
MSFT,24.41,2010-07-08
MSFT,24.27,2010-07-09
MSFT,24.83,2010-07-12
MSFT,25.129998999999998,2010-07-13
MSFT,25.440001000000002,2010-07-14
MSFT,25.51,2010-07-15
MSFT,24.889999,2010-07-16
MSFT,25.23,2010-07-19
MSFT,25.48,2010-07-20
MSFT,25.120001000000002,2010-07-21
MSFT,25.84,2010-07-22
MSFT,25.809998999999998,2010-07-23
MSFT,26.1,2010-07-26
MSFT,26.16,2010-07-27
MSFT,25.950001,2010-07-28
MSFT,26.030001000000002,2010-07-29
MSFT,25.809998999999998,2010-07-30
MSFT,26.33,2010-08-02
MSFT,26.16,2010-08-03
MSFT,25.73,2010-08-04
MSFT,25.370001000000002,2010-08-05
MSFT,25.549999,2010-08-06
MSFT,25.610001,2010-08-09
MSFT,25.07,2010-08-10
MSFT,24.860001,2010-08-11
MSFT,24.49,2010-08-12
MSFT,24.4,2010-08-13
MSFT,24.5,2010-08-16
MSFT,24.709999,2010-08-17
MSFT,24.82,2010-08-18
MSFT,24.440001000000002,2010-08-19
MSFT,24.23,2010-08-20
MSFT,24.280001000000002,2010-08-23
MSFT,24.040001,2010-08-24
MSFT,24.1,2010-08-25
MSFT,23.82,2010-08-26
MSFT,23.93,2010-08-27
MSFT,23.639999,2010-08-30
MSFT,23.469998999999998,2010-08-31
MSFT,23.9,2010-09-01
MSFT,23.940001000000002,2010-09-02
MSFT,24.290001,2010-09-03
MSFT,23.959999,2010-09-07
MSFT,23.93,2010-09-08
MSFT,24.01,2010-09-09
MSFT,23.85,2010-09-10
MSFT,25.110001,2010-09-13
MSFT,25.030001000000002,2010-09-14
MSFT,25.120001000000002,2010-09-15
MSFT,25.33,2010-09-16
MSFT,25.219998999999998,2010-09-17
MSFT,25.43,2010-09-20
MSFT,25.15,2010-09-21
MSFT,24.610001,2010-09-22
MSFT,24.43,2010-09-23
